Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
4670.0,394,800.4356,196615,69540,127024,0.0145
4680.0,394,800.3812,197009,69591,127367,0.01449
4690.0,394,800.3261,197403,69642,127710,0.01449
4700.0,394,800.2721,197797,69693,128053,0.01448
4710.0,394,800.2139,198191,69744,128396,0.01447
4720.0,394,800.1558,198585,69795,128739,0.01447
4730.0,394,800.0988,198979,69846,129082,0.01446
4740.0,394,800.0412,199373,69897,129425,0.01445
4750.0,394,799.9841,199767,69948,129768,0.01445
4760.0,394,799.9272,200161,69999,130111,0.01444
4770.0,394,799.8707,200555,70050,130456,0.01443
4780.0,394,799.8254,200949,70099,130801,0.01442
4790.0,394,799.7785,201343,70148,131146,0.01442
4800.0,394,799.7347,201737,70197,131493,0.01441
4810.0,394,799.6953,202131,70244,131840,0.0144
4820.0,394,799.6566,202525,70291,132187,0.0144
4830.0,394,799.6209,202919,70338,132534,0.01439
4840.0,394,799.5848,203313,70385,132881,0.01438
4850.0,394,799.549,203707,70432,133228,0.01438
4860.0,394,799.5103,204101,70479,133575,0.01437
4870.0,394,799.4716,204495,70526,133922,0.01436
4880.0,394,799.4334,204889,70573,134269,0.01436
4890.0,394,799.3947,205283,70620,134616,0.01435
4900.0,394,799.3554,205677,70667,134963,0.01434
4910.0,394,799.3167,206071,70714,135310,0.01434
4920.0,394,799.278,206465,70761,135657,0.01433
4930.0,394,799.2412,206859,70808,136004,0.01432
4940.0,394,799.2019,207253,70855,136351,0.01432
4950.0,394,799.1627,207647,70902,136698,0.01431
4960.0,394,799.1264,208041,70949,137045,0.0143
4970.0,394,799.0896,208435,70996,137392,0.0143
4980.0,394,799.0528,208829,71043,137739,0.01429
4990.0,394,799.0136,209223,71090,138086,0.01428
